CustomerID,Recency,Frequency,Monetary,KMeans_Cluster,DBSCAN_Cluster
14508,23,2,276.42,1,0
17228,16,8,1906.09,0,1
13338,158,1,487.02,1,2
16948,139,3,435.02,1,1
16344,159,1,101.10000000000001,1,2
15626,75,2,675.8,1,0
13429,11,4,1006.8,0,1
17031,12,2,380.35,1,0
12794,54,2,860.41,1,0
12413,67,3,758.1,1,1
17827,6,5,1995.46,0,1
17510,25,1,308.48,1,2
17572,72,4,226.75000000000003,1,-1
13037,139,3,881.07,1,1
12658,19,1,686.05,1,2
15569,104,5,1375.71,0,1
16426,3,10,1908.25,0,1
12953,10,1,329.85,1,2
12738,373,1,155.35,1,2
16063,261,1,335.32,1,2
14810,41,11,2087.88,0,1
17560,95,4,854.95,1,1
13064,13,4,1119.49,0,1
17513,73,1,513.2,1,2
15965,18,4,845.64,0,1
13824,33,5,1698.94,0,1
13971,19,8,2758.26,0,1
15572,5,7,2552.86,0,1
14661,27,1,107.95,1,2
13253,157,2,1030.4,1,0
14632,263,1,114.56,1,2
16961,117,1,234.17,1,2
16549,11,10,4154.64,0,1
18212,327,1,248.42,1,2
15835,45,4,954.09,0,1
12435,80,2,7829.89,0,-1
16780,101,2,425.19,1,0
16633,18,6,2883.1,0,1
16818,11,11,3349.57,0,1
17537,30,2,897.62,1,0
13211,11,3,1197.42,0,1
14535,61,3,2864.19,0,1
12591,318,1,452.84999999999997,1,2
17686,8,7,5739.46,0,1
13467,11,2,1083.71,0,0
16869,23,4,825.42,0,1
17122,120,1,138.32,1,2
16127,40,1,656.25,1,2
16349,291,1,53.5,1,2
12473,30,5,3938.5499999999997,0,1
14174,34,1,134.46,1,2
16356,198,3,211.77,1,1
16667,69,2,570.13,1,0
13238,18,4,700.73,0,1
18072,186,1,247.44,1,2
15494,22,2,1299.23,0,0
14301,118,1,640.14,1,2
16999,24,2,484.82,1,0
15444,10,2,1418.26,0,0
18283,4,16,2094.88,0,-1
17791,30,1,106.1,1,2
17100,19,2,971.74,1,0
17950,73,3,482.2,1,1
16776,61,1,388.28,1,2
17233,36,1,190.88,1,2
17765,159,3,371.88,1,1
17175,45,4,1443.69,0,1
15920,155,4,167.5,1,-1
15689,120,2,254.1,1,0
17692,128,4,740.9399999999999,1,1
16759,8,3,789.79,0,1
17878,44,1,379.45,1,2
16142,250,1,535.34,1,2
15360,40,1,427.93,1,2
12792,257,1,400.53999999999996,1,2
14250,8,3,1904.05,0,-1
13270,367,1,590.0,1,2
14401,5,13,4051.48,0,1
15634,18,1,243.55,1,2
12734,353,1,110.39999999999999,1,2
12600,29,10,2599.04,0,1
13239,262,1,329.56,1,2
13058,25,3,271.40000000000003,1,1
16182,73,4,6617.65,0,-1
17941,131,1,304.56,1,2
13563,85,2,777.53,1,0
17221,8,2,335.13,1,0
14855,120,2,645.65,1,0
14323,115,2,605.0600000000001,1,0
13837,212,2,271.24,1,0
13736,6,2,731.9,0,0
15861,13,8,3165.36,0,1
15145,5,4,1194.73,0,1
17733,39,2,692.19,1,0
17571,51,4,1498.51,0,1
16361,10,4,896.66,0,1
18222,93,1,443.0,1,2
17291,309,1,550.8000000000001,1,2
13023,65,2,689.9,1,0
12643,129,6,3344.64,0,1
14974,38,1,114.39,1,2
18082,26,1,703.37,1,2
17379,12,1,404.66,1,2
13148,30,12,3707.12,0,1
13841,253,1,85.0,1,2
17253,19,1,178.26,1,2
13483,66,1,140.34,1,2
17590,3,3,1479.22,0,1
12346,326,1,77183.6,0,-1
16038,8,3,471.78000000000003,0,1
